"MAXWATR_1","MAXWATR_2","FRACTEN","FRCHZNE","PERCRTE","PERCEXP","FRACLOWZ","BASERTE","QB_POWR","AXV_BEXP","LOGLAMB","TISHAPE","TIMEDELAY"
0.000299682822380929,1.68662998838675e-07,0.0021128914427246,0.000444711004482143,0.00113683076731677,0.0119710187794038,0,8.76904063701793e-07,4.77144942749759e-07,0.236223406824198,8.30431869776018e-08,3.14930548425037e-11,0.747809852572809
0.00714821295577491,0.000792444692312918,0.124851387676084,0.00446002353862311,0.000199625327691235,0.0513202902144045,0,7.01172542063966e-05,0.0138951713640071,0.759449309066873,0.00283004532667107,2.29246905955336e-05,0.0349604478927567
0.00156796013312997,1.02134250523641e-06,0.00836494454623666,0.000130078371115399,6.37927884423715e-06,0.000186545948802099,0,5.16344815757571e-07,0.000938358849040886,0.956377689343662,2.29942845020628e-05,1.86244662204004e-05,0.0323848870911255
0.00104563120572115,0.000690023227727794,0.00180209177002571,4.51977902379076e-05,0.00101150253728007,0.0102665065169117,0,1.39408831641083e-05,0.00170180865844312,0.973406229337184,0.000425666414469235,1.43627514470553e-07,0.00959125803132073
0.0193086458840665,1.84959687104184e-11,0.00036877737830332,0.00367533765670357,4.95615886118147e-05,0.000695917720973784,0,3.51988010879993e-10,0,0.00499088098113355,1.5230650442776e-09,6.80189892131702e-11,0.970910876828639
0.000346252519659402,0.000118652176644434,0.145598276377646,0.00286548509195405,0.000262549056539662,0.249003033839672,0,2.49008871780186e-05,0.00162262935485399,0.496406407907506,0.00024237622678905,7.23146679219458e-07,0.103508713414878
0.0194119039681286,4.29385203348835e-09,0.283386016916499,0.00982111478639865,0.0173110571538378,0.0242784108989788,0,2.70887520015088e-08,7.73922339092027e-07,0.170979935601055,7.47280507421428e-07,3.31961813360904e-08,0.47480997489347
0.073415406418445,1.97849131771308e-05,0.00539436142574976,0.00544222786996469,0.000324897749937823,0.0243970740616588,0,1.10660955127838e-06,5.00908798209328e-05,0.520694396209123,8.43674800225697e-06,1.67121376455096e-08,0.370252200402432
0.216488723195635,0,0.030697610135193,0.00213242202857736,0.000218493719327842,0.00635249440943966,0,0,1.72612953825887e-09,0.0282124201813811,0,2.82225667351104e-11,0.715897834576094
0.0110251772145686,1.34566935168285e-07,0.000214459557112019,0.00553409444273047,0.000908172382646031,0.210588893246625,0,4.08079437663698e-07,5.59804737500837e-05,0.1860505323471,2.3725438878654e-05,6.06130846344215e-07,0.585597816119372
0.00360883470757855,0,0.0933691771006791,0.0161808000724753,0.00014542414159726,0.0107442996947078,0,0,1.5627517109113e-08,0.0700810751228567,1.18000795594306e-09,9.40619552308e-10,0.80587037141196
0.00478378152408674,2.39320282950255e-07,0.00336639199767124,0.305392887472465,0.000627844128087941,0.0352768413875428,0,6.54077884971323e-08,9.25427370380605e-09,0.161716099033421,9.40108075476927e-08,2.12840774624751e-09,0.488835744335166
0.0290541260596122,0,7.99662715786535e-09,8.63324954955545e-05,0.000321873426201007,0.0237893028872406,0,0,0,0.764806022707129,5.30935413882346e-12,0,0.181942334422385
0.0594222400935241,3.6098986509836e-08,0.220042892290806,0.000491945960904328,0.0419046168456309,0.056216439825444,0,8.97310976648296e-08,5.08033376585113e-07,0.181251644425352,1.5549558587304e-06,9.65843795302954e-10,0.440668030773175
0.0263119772928244,0,0.0345340151010739,0.0809632258386887,0.000203684520329277,0.0971807815168874,0,5.93244308638692e-10,2.18131690898725e-08,0.174538306363209,1.79752631737232e-08,1.22245703708928e-08,0.586267956760742
0.15118644752641,1.99864997346069e-08,0.163044130358587,0.0757917022570272,0.00264576558724406,0.0687495675160385,0,8.99458979453472e-08,2.52586476814502e-07,0.0103071994490187,2.75691158134458e-06,2.37993925529785e-07,0.528271829881293
0.00032498839171364,1.10894991550538e-05,0.00590325124681687,0.000548516985562085,2.85655708332031e-05,0.00168889993726201,0,0.000581308207415128,0.000264367264599689,0.959921325099475,1.8583348918823e-05,1.41472193318773e-06,0.0307076897263154
0.00116432850654434,2.13953803714109e-09,0.0361336440257399,0.00126572341388537,4.05776313733534e-05,0.00802444309096972,0,2.61126026191673e-09,2.34636841395832e-08,0.00650487534807462,2.78617526199029e-08,1.0611334197646e-10,0.946866351801064
0.00449850187504733,1.47602853626235e-06,0.171466210176694,0.000701916003565648,0.000920356037214602,0.0800524685189181,0,2.16158143675649e-05,0.0116106615218409,0.400499896530152,0.00252005545073354,0.000211944951476159,0.327494897091454
0.00153598320626657,1.90984727545011e-09,0.00359783764549191,0.00414289954013937,1.2325046496619e-07,0.000204616271677724,0,0,1.75720929285292e-09,0.00782547399929432,2.09663764480229e-10,0,0.982693062209945
0.00756703457504802,7.68307850249283e-08,0.000850900994140628,0.156773053348297,5.51596942404186e-06,0.00245631897557736,0,3.97766750533961e-08,3.60946373022328e-06,0.112447730657744,5.57069924102034e-06,6.43444345332841e-07,0.719889505264992
0.000246428663516315,0,0.00405862670963437,0.000227371273298927,0,0,0,7.62945479366013e-12,6.51056472088487e-12,0.029386748301412,6.6683777688229e-11,2.52293811783217e-12,0.966080824968792
0.00294130059850182,3.92128562452064e-06,0.0401572905124755,4.88718443771864e-06,0.00886866368044193,0.021238466692303,0,5.69993368837353e-06,8.64316477494329e-05,0.856250973369375,1.73689869444251e-05,2.97498240315321e-07,0.0704246986102179
4.90754910220769e-05,8.66551273133158e-09,0.00101413185584168,2.76184019517859e-05,0.000896084339793775,0.0158127842227458,0,1.18194967463161e-08,2.83144349438404e-08,0.00602591038885324,2.21766606944119e-08,1.75722459125357e-10,0.976174324147965
0.0592977508159339,0,4.78755791013427e-07,0.241782888138899,3.29298593119686e-06,0.000133239894058752,0,5.30356080930896e-10,2.60182263885839e-10,0.0880613635291465,2.9601634094313e-09,4.720543726821e-11,0.610720982082333
