"MAXWATR_1","MAXWATR_2","FRACTEN","FRCHZNE","RTFRAC1","PERCRTE","PERCEXP","FRACLOWZ","BASERTE","QB_POWR","AXV_BEXP","LOGLAMB","TISHAPE","TIMEDELAY"
0.00110706822149677,0.000138048018371644,0.00159842256094128,0.000858834124023146,0.000152569302890125,0.000466260509520633,0.022694916255072,0,2.96573924161787e-05,0.0335329138020895,0.84007611318016,0.00516404741629774,0.00217526968945971,0.0920058795272607
0.00377657396410003,2.99297253709585e-06,0.0120824678327333,0.0251052797266695,0.0121717826471488,0.139766432022914,0.0186061672425589,0,4.44379074334553e-06,0.000171017253879064,0.746615590372334,1.74285625898762e-05,2.43258375313212e-07,0.0416795803534161
0.033057200721253,1.65188344609893e-09,0.0102789263843408,0.178237796343997,0.126960435473638,1.06896858388388e-07,0.000180904664306317,0,7.49936966072715e-09,6.61604176477873e-07,0.0284884311786984,1.1234154300751e-07,2.50032923555341e-08,0.622795390236642
3.72888081925766e-05,0.000648891346434481,0.000234609796662115,4.39759517866769e-07,5.66930033296658e-07,3.06575692201552e-05,0.00253384034215876,0,0.000932252136050478,0.839749752116391,0.0857669543083251,0.0639211754339857,0.00604728612559652,9.62853274320047e-05
0.00243344215705417,4.91405273226082e-11,0.000398506019915904,0.0099387679468666,0.00790367528334654,2.47280541077203e-06,0.0002308760115697,0,2.87992793986611e-10,4.63019263283031e-10,0.00860971044355902,1.66941555784663e-09,1.9148457673476e-11,0.970482546843561
0.000551861297519033,1.61112850282709e-05,0.10388167526142,0.00677400426146614,0.00642697296784677,0.0243235757657165,0.354983053942826,0,1.51558458762718e-05,0.00321400564407534,0.161298973563836,0.000451256848900673,6.61931436594329e-05,0.337997160171831
2.04896047237118e-05,3.76953186286419e-11,0.000224275304589226,0.00324863904686335,0.00126550210239767,3.45101432927903e-05,0.00767350617794748,0,4.1829508344721e-10,1.62757997649293e-10,0.00692760465584419,7.60358976414202e-10,3.34652072516796e-11,0.980605471551769
0.200225829353663,9.96821943960712e-10,0.000580497466496761,0.00286184087130631,0.0070385007096564,0.000191464438612062,0.0343603526386931,0,3.19928243453337e-07,0,0.0801980061586648,4.96495538937794e-08,8.70358766758621e-10,0.674543136917928
0.00273996914198329,0.000219646001304156,0.000636311308082732,0.0115466399694567,0.00834682669742778,0.00052398534135407,0.00426295202517601,0,0.00121014269969994,0.00142789986872023,0.953681689350132,0.000175095445693272,8.86727993004087e-07,0.0152279554229769
0.0039671546117914,1.04985820603347e-08,0.000696315942868349,5.94032626514188e-05,0.00522679700616027,9.3551386656825e-06,0.00654053772025784,0,0,4.35007309028593e-09,0.0426957952351385,2.76280838693386e-11,0,0.940804626206183
0.000230944428725238,1.72666503966344e-07,0.0214947002956268,0.236146180759498,0.265039146316975,7.62673654259665e-05,0.0068783931841656,0,0,2.37220860522434e-08,0.0786743252954394,2.00452990104678e-09,0,0.391459843961025
0.022727135264979,2.04211972969649e-06,0.0468881925854752,0.000181060999462006,0.0150480484414993,0.00115645574704872,0.168857143557059,0,3.75466284398156e-05,7.52298639293185e-05,0.0918512962343681,3.88536758718506e-05,2.6772593088852e-06,0.653134317622829
0.00383223825066671,4.47578913565494e-08,0.00123825719463452,0.00700927289714625,0.00320643517850363,8.19585128491865e-05,0.00651259519942036,0,7.3220568461143e-10,1.04592027833078e-07,0.197434469216976,1.93904339050702e-08,8.06039331860358e-11,0.78068460399664
0.00374121525494192,5.06460318844666e-08,0.000488550374779516,0.0446231483020148,0.0306724618202286,0.000443811695349799,0.015730843240192,0,9.17178140743552e-09,1.39216737627785e-07,0.069622525228738,7.18850146996047e-08,0,0.83467717316419
0.000283717793983667,1.5527993757258e-05,0.0502688472680754,0.00969501714224574,0.0039815555921815,0.00134210246755675,0.0630191052807776,0,1.60908378286626e-07,2.30308029654229e-06,0.129038229582376,5.26450571834178e-07,3.79930505321564e-11,0.742352906401805
0.0167949812992624,1.53903205258312e-06,0.00941517970981117,0.0191968455332575,0.0131913449097125,0.000126512231210761,0.0182499966890856,0,1.14374849885675e-06,7.10170248523452e-09,0.353348955073699,1.36913676357412e-05,3.41707770066342e-07,0.569659461596302
